year_month,year,month,month_name,quarter,year_month_label
2022-01-01,2022,1,January,1,2022-01
2022-02-01,2022,2,February,1,2022-02
2022-03-01,2022,3,March,1,2022-03
2022-04-01,2022,4,April,2,2022-04
2022-05-01,2022,5,May,2,2022-05
2022-06-01,2022,6,June,2,2022-06
2022-07-01,2022,7,July,3,2022-07
2022-08-01,2022,8,August,3,2022-08
2022-09-01,2022,9,September,3,2022-09
2022-10-01,2022,10,October,4,2022-10
2022-11-01,2022,11,November,4,2022-11
2022-12-01,2022,12,December,4,2022-12
2023-01-01,2023,1,January,1,2023-01
2023-02-01,2023,2,February,1,2023-02
2023-03-01,2023,3,March,1,2023-03
2023-04-01,2023,4,April,2,2023-04
2023-05-01,2023,5,May,2,2023-05
2023-06-01,2023,6,June,2,2023-06
2023-07-01,2023,7,July,3,2023-07
2023-08-01,2023,8,August,3,2023-08
2023-09-01,2023,9,September,3,2023-09
2023-10-01,2023,10,October,4,2023-10
2023-11-01,2023,11,November,4,2023-11
2023-12-01,2023,12,December,4,2023-12
2024-01-01,2024,1,January,1,2024-01
2024-02-01,2024,2,February,1,2024-02
2024-03-01,2024,3,March,1,2024-03
2024-04-01,2024,4,April,2,2024-04
2024-05-01,2024,5,May,2,2024-05
2024-06-01,2024,6,June,2,2024-06
2024-07-01,2024,7,July,3,2024-07
2024-08-01,2024,8,August,3,2024-08
2024-09-01,2024,9,September,3,2024-09
2024-10-01,2024,10,October,4,2024-10
2024-11-01,2024,11,November,4,2024-11
2024-12-01,2024,12,December,4,2024-12
